央视高清,#genre#
CCTV-1高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-2高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-3高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-4高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225850/376430583.smil
CCTV-5高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225609/10000100000000060000000000790217_0.smil
CCTV-6高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225600/10000100000000060000000000295673_0.smil
CCTV-7高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225572/10000100000000060000000000107352_0.smil
CCTV-8高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225601/10000100000000060000000000295674_0.smil
CCTV-9高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225575/10000100000000060000000000107355_0.smil
CCTV-10高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225577/10000100000000060000000000107357_0.smil
CCTV-11高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225843/376430589.smil
CCTV-12高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225578/10000100000000060000000000107358_0.smil
CCTV-13高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225844/376430600.smil
CCTV-14高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225579/10000100000000060000000000107359_0.smil
CCTV-15高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225847/376430588.smil
CCTV-16高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225605/10000100000000060000000000566169_0.smil
CCTV-17HD,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225612/10000100000000060000000000804195_0.smil
CCTV-5＋高清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225570/10000100000000060000000000107350_0.smil
甘肃卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225480/10000100000000060000000000102557_0.smil
甘肃文化影视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225482/10000100000000060000000000102559_0.smil
甘肃经济标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225481/10000100000000060000000000102558_0.smil
甘肃公共应急标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225483/10000100000000060000000000102560_0.smil
甘肃都市标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225484/10000100000000060000000000102561_0.smil
甘肃少儿标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225485/10000100000000060000000000102562_0.smil
品质生活标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225487/10000100000000060000000000102567_0.smil
陇尚生活标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225486/10000100000000060000000000102566_0.smil
移动电视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225488/10000100000000060000000000102569_0.smil
证券服务标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225532/10000100000000060000000000107312_0.smil

卫视高清,#genre#
东方卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225533/10000100000000060000000000107313_0.smil
江苏卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225534/10000100000000060000000000107314_0.smil
浙江卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225535/10000100000000060000000000107315_0.smil
安徽卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225536/10000100000000060000000000107316_0.smil
山东卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225537/10000100000000060000000000107317_0.smil
山西卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225538/10000100000000060000000000107318_0.smil
湖南卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225539/10000100000000060000000000107319_0.smil
湖北卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225540/10000100000000060000000000107320_0.smil
江西卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225541/10000100000000060000000000107321_0.smil
重庆卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225542/10000100000000060000000000107322_0.smil
四川卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225543/10000100000000060000000000107323_0.smil
陕西卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225544/10000100000000060000000000107324_0.smil
河南卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225545/10000100000000060000000000107325_0.smil
天津卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225546/10000100000000060000000000107326_0.smil
辽宁卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225547/10000100000000060000000000107327_0.smil
吉林卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225548/10000100000000060000000000107328_0.smil
黑龙江卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225549/10000100000000060000000000107329_0.smil
东南卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225550/10000100000000060000000000107330_0.smil
广东卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225551/10000100000000060000000000107331_0.smil
广西卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225552/10000100000000060000000000107332_0.smil
河北卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225553/10000100000000060000000000107333_0.smil
云南卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225554/10000100000000060000000000107334_0.smil
贵州卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225555/10000100000000060000000000107335_0.smil
海南卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225556/10000100000000060000000000107336_0.smil
北京卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225557/10000100000000060000000000107337_0.smil
深圳卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225558/10000100000000060000000000107338_0.smil
青海卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225559/10000100000000060000000000107339_0.smil
西藏卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225560/10000100000000060000000000107340_0.smil
内蒙古卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225561/10000100000000060000000000107341_0.smil
新疆卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225562/10000100000000060000000000107342_0.smil
宁夏卫视标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225563/10000100000000060000000000107343_0.smil
金鹰卡通标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225564/10000100000000060000000000107344_0.smil
卡酷少儿标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225565/10000100000000060000000000107345_0.smil
纪实人文HD,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225523/10000100000000060000000000107303_0.smil
数字频道,#genre#
热播剧场标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225522/10000100000000060000000000107302_0.smil
IPTV谍战剧场标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225520/10000100000000060000000000107300_0.smil
IPTV野外标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225519/10000100000000060000000000107299_0.smil
IPTV法治标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225518:554/10000100000000060000000000107298_0.smil
IPTV相声小品标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225517/10000100000000060000000000107297_0.smil
解密标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225516/10000100000000060000000000107296_0.smil
军事标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225515/10000100000000060000000000107295_0.smil
武侠剧场标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225514/10000100000000060000000000107294_0.smil
喜剧影院标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225513/10000100000000060000000000107293_0.smil
动作影院标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225512/10000100000000060000000000107292_0.smil
家庭影院标清,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225511/10000100000000060000000000107291_0.smil
爱体育,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225508/10000100000000060000000000107288_0.smil
爱电影,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225509/10000100000000060000000000107289_0.smil
爱大剧,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225510/10000100000000060000000000107290_0.smil
爱综艺,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225507/10000100000000060000000000107287_0.smil
直播珠峰,rtsp://60.13.39.18:554/PLTV/88888910/224/3221225590/10000100000000060000000000268750_0.smil
